GO:0033301	GO:0033301	GO:0000278,GO:0007049,GO:0008150,GO:0009987,GO:0033301,GO:0044699,GO:0044763,
GO:0033301	GO:0008283	GO:0008150,GO:0044699,
GO:0033301	GO:0060718	GO:0008150,GO:0009987,GO:0044699,GO:0044763,
GO:0033301	GO:0070365	GO:0008150,GO:0009987,GO:0044699,GO:0044763,
GO:0033301	GO:0032466	GO:0007049,GO:0008150,GO:0009987,GO:0044699,GO:0044763,
GO:0033301	GO:0000122	GO:0008150,GO:0009987,
GO:0033301	GO:0001890	GO:0008150,GO:0044699,
GO:0033301	GO:0032877	GO:0007049,GO:0008150,GO:0009987,GO:0044699,GO:0044763,
GO:0033301	GO:0045944	GO:0008150,GO:0009987,
GO:0033301	GO:0002040	GO:0008150,GO:0044699,
GO:0033301	GO:0006351	GO:0008150,GO:0009987,
GO:0033301	GO:0060707	GO:0008150,GO:0009987,GO:0044699,GO:0044763,
GO:0033301	GO:0006956	GO:0008150,
GO:0033301	GO:0006958	GO:0008150,
GO:0033301	GO:0038095	GO:0008150,GO:0009987,GO:0044699,GO:0044763,
GO:0033301	GO:0038096	GO:0008150,GO:0009987,GO:0044699,GO:0044763,
GO:0033301	GO:0045087	GO:0008150,
GO:0033301	GO:0050776	GO:0008150,
GO:0008283	GO:0008283	GO:0008150,GO:0008283,GO:0044699,
GO:0008283	GO:0060718	GO:0008150,GO:0044699,
GO:0008283	GO:0070365	GO:0008150,GO:0044699,
GO:0008283	GO:0032466	GO:0008150,GO:0044699,
GO:0008283	GO:0000122	GO:0008150,
GO:0008283	GO:0001890	GO:0008150,GO:0044699,
GO:0008283	GO:0032877	GO:0008150,GO:0044699,
GO:0008283	GO:0045944	GO:0008150,
GO:0008283	GO:0002040	GO:0008150,GO:0044699,
GO:0008283	GO:0006351	GO:0008150,
GO:0008283	GO:0060707	GO:0008150,GO:0044699,
GO:0008283	GO:0006956	GO:0008150,
GO:0008283	GO:0006958	GO:0008150,
GO:0008283	GO:0038095	GO:0008150,GO:0044699,
GO:0008283	GO:0038096	GO:0008150,GO:0044699,
GO:0008283	GO:0045087	GO:0008150,
GO:0008283	GO:0050776	GO:0008150,
